id,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
288,I'm Different,2 Chainz,atl hip hop,2012,98,70,94,-5,8,70,207,5,6,58
289,5 O'Clock (feat. Lily Allen & Wiz Khalifa),T-Pain,dance pop,2011,167,88,40,-2,12,39,282,17,33,58
290,She Ain't You,Chris Brown,dance pop,2011,91,72,63,-7,9,62,248,3,13,58
291,Ghost,Ella Henderson,dance pop,2015,105,84,68,-4,14,47,213,5,4,57
292,"U.O.E.N.O. (feat. Rick Ross, Future)",Rocko,atl hip hop,2013,187,64,42,-5,32,65,260,42,32,57
293,Cashin' Out,Ca$h Out,atl hip hop,2012,130,67,83,-4,6,66,239,15,7,57
294,Undo It,Carrie Underwood,contemporary country,2009,156,84,48,-2,5,65,177,11,6,57
295,Your Love,Nicki Minaj,dance pop,2010,190,52,42,-10,41,18,245,0,34,56
296,Rock That Body,Black Eyed Peas,dance pop,2009,125,91,72,-6,43,84,269,2,10,56
297,Lights Down Low,MAX,dance pop,2016,81,57,62,-5,12,64,225,5,5,56
298,Tie Me Down (feat. Ray J),New Boyz,dance pop,2009,98,79,42,-4,20,38,179,1,29,55
299,Heart Attack,Trey Songz,dance pop,2012,150,86,61,-5,23,48,233,6,13,55
300,Next To Me,Emeli Sandé,dance pop,2012,95,81,67,-5,11,39,197,9,4,55
301,I Made It (Cash Money Heroes),Kevin Rudolf,dance pop,2010,124,94,59,-3,37,57,250,4,11,54
302,Catch My Breath,Kelly Clarkson,dance pop,2012,124,91,69,-5,9,51,250,3,7,54
303,We Run The Night,Havana Brown,australian dance,2011,127,86,70,-4,41,70,228,0,14,54
304,Cheers (Drink To That),Rihanna,barbadian pop,2010,80,91,58,-4,29,73,262,2,4,53
305,Eenie Meenie - Radio Version,Sean Kingston,dance pop,2020,121,64,72,-3,17,84,202,4,3,53
306,Already Gone,Kelly Clarkson,dance pop,2009,78,87,21,-3,8,29,282,22,8,52
307,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,dance pop,2010,150,78,54,-4,16,28,233,1,19,49
308,Berzerk,Eminem,detroit hip hop,2013,95,87,73,-5,23,64,239,2,33,36
